block;N (missing tracks);N (missing days);cam_position;day;track_00;track_01;track_02;track_03;track_04;track_05;track_06;track_07;track_08;track_09;track_10;track_11;track_12;track_13;track_14;comment;;;;;;;;;
1;15;1;33_back;18. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;19. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;20. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;21. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;22. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;23. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;24. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;33_back;25. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;89_front;13. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish. m1_05 dies, we can watch it in the 060000 recording, video chunk 5, around 3:25 (25fps video playback) and ends up in the inner corner of the water inflow cover. before she dies, behavior is abnormal.;;;;;;;;;
1;15;1;89_back;11. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish, she vanished during the night Sep 10 -> 11 and was replaced with a new fish on the afternoon of Sep11;;;;;;;;;
1;15;1;57_front;11. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;58_front;11. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;58_back;11. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;58_back;12. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;two fish.;;;;;;;;;
1;15;1;64_front;18. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;19. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;20. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;21. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;22. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;23. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;24. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_front;25. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;64_back;11. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
1;15;1;01_back;11. Sep 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;the fish was hiding somewhere - couldn't find her when checking the footage either.;;;;;;;;;
1;11;;33_back;06. Oct 21;1;1;1;1;1;1;1;;1;1;1;;1;;;poor track quality;;;;;;;;;
1;5;;89_front;02. Oct 21;;;;;;;;;;;1;1;1;1;1;poor track quality;;;;;;;;;
1;7;;89_front;06. Oct 21;1;1;1;1;1;1;1;;;;;;;;;poor track quality;;;;;;;;;
1;2;;68_front;12. Sep 21;;;;;1;1;;;;;;;;;;poor track quality;;;;;;;;;
1;1;;66_back;07. Oct 21;;;;;;;;;;;1;;;;;poor track quality;;;;;;;;;
2;15;1;66_front;03. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;04. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;05. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;06. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;07. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;08. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;09. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;10. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;11. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;12. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;13. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;14. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;15. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;16. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;17. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;18. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;19. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;20. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;21. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;22. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;23. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;24. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;25. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;26. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;27. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;28. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;15;1;66_front;29. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;no fish.;;;;;;;;;
2;3;;89_front;22. Nov 21;;;;;;;;;;;;;1;1;1;poor track quality;;;;;;;;;
2;1;;89_front;27. Nov 21;;;;;;;;;;;;;1;;;poor track quality;;;;;;;;;
2;2;;68_front;13. Nov 21;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;15;1;68_back;29. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;pdf looks fine but blank cells in metric table;;;;;;;;;
2;15;1;04_front;29. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;pdf looks fine but blank cells in metric table;;;;;;;;;
2;15;1;57_back;28. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;pdf looks fine but blank cells in metric table;;;;;;;;;
2;15;1;57_back;29. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;pdf looks fine but blank cells in metric table;;;;;;;;;
2;15;1;64_back;28. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;pdf looks fine but blank cells in metric table;;;;;;;;;
2;7;;78_back;02 Nov 2021;1;1;1;1;1;1;1;;;;;;;;;fish was hiding behind the filter cover;;;;;;;;;
2;15;1;64_back;29. Nov 21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;pdf looks fine but blanck cells in metric table;;;;;;;;;
TOTAL TOTAL;894;57;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL block 1;386;24;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL block 2;508;33;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
